ligand,receptor,pathway,function,AX,LA,LV,RA,RV,SP,mean_score
THBS1,MMP9,ecm,functional,0.0,0.0,0.0,0.0746988083431053,0.0,0.0,0.01244980139051755
MET,CD44,cell_adhesion,functional,0.0,0.0,0.07467979353718782,0.0,0.0,0.0,0.01244663225619797
NTN1,UNC5C,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.07458155740654333,0.012430259567757222
EGF,ANXA1,ligand,functional,0.0,0.0,0.0745666996989782,0.0,0.0,0.0,0.012427783283163032
LYN,PIK3R2,cell_adhesion,functional,0.07450114663202166,0.0,0.0,0.0,0.0,0.0,0.01241685777200361
BMP1,TNC,ligand,functional,0.07449637973251357,0.0,0.0,0.0,0.0,0.0,0.012416063288752261
COL1A1,BIRC5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.07421885584205017,0.01236980930700836
CLEC11A,ITGA10,ligand,functional,0.0,0.0742127795247976,0.0,0.0,0.0,0.0,0.012368796587466266
FGFR4,MCAM,ligand,functional,0.07395310645940019,0.0,0.0,0.0,0.0,0.0,0.012325517743233365
CCL2,CX3CR1,ligand,functional,0.0,0.0,0.07383415288516892,0.0,0.0,0.0,0.012305692147528155
TNFRSF11B,GPC6,cell_surface_ligand,functional,0.02401278523776569,0.0,0.0,0.0,0.0,0.049642229894787726,0.01227583585542557
MET,ITGA3,cell_adhesion,functional,0.0,0.0,0.07355188461743706,0.0,0.0,0.0,0.012258647436239509
JAK2,LYN,cell_adhesion,functional,0.0734667078093067,0.0,0.0,0.0,0.0,0.0,0.012244451301551116
IL6,HRH1,ligand,functional,0.0,0.0,0.005680311843382219,0.04688392174361771,0.0,0.020854429638877337,0.012236443870979545
IL1RAP,IL1R1,ligand,functional,0.07339729184932288,0.0,0.0,0.0,0.0,0.0,0.012232881974887146
IL1R1,IL1RAP,cell_adhesion,functional,0.07339729184932288,0.0,0.0,0.0,0.0,0.0,0.012232881974887146
TGFB2,TGFB1,ligand,functional,0.0,0.0,0.0,0.07334581872434276,0.0,0.0,0.012224303120723793
LCK,TYROBP,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.0,0.073269417860542,0.012211569643423667
LYN,CSF3R,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.07322197971567095,0.012203663285945158
ABCA1,JAK2,cell_surface_ligand,functional,0.07320157045081917,0.0,0.0,0.0,0.0,0.0,0.012200261741803194
COMP,ITGA10,ecm,functional,0.020534619117212955,0.05247776533824254,0.0,0.0,0.0,0.0,0.012168730742575915
CCL5,CCR1,ligand,functional,0.0,0.0,0.0,0.0,0.07276184617194184,0.0,0.012126974361990306
MET,ICAM1,cell_adhesion,functional,0.0,0.0,0.0727342278509896,0.0,0.0,0.0,0.012122371308498267
IL6,SGK1,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.07269279967855717,0.012115466613092861
EDN1,PLCG1,ligand,functional,0.0,0.0,0.0,0.0,0.07238795654015748,0.0,0.01206465942335958
LIF,LPL,ligand,functional,0.0,0.0,0.0,0.07233846027101984,0.0,0.0,0.012056410045169974
LYN,PRKD1,cell_adhesion,functional,0.02994994171317279,0.04232125893529647,0.0,0.0,0.0,0.0,0.01204520010807821
LBP,NT5E,ecm,functional,0.0,0.0,0.0,0.04275639907202767,0.029474176833004344,0.0,0.012038429317505336
MYOC,FZD3,ecm,functional,0.0,0.07222438240431636,0.0,0.0,0.0,0.0,0.01203739706738606
IL6,LYN,ligand,functional,0.0,0.0,0.018716608637442005,0.0,0.0,0.05341787057341313,0.01202241320180919
COL4A2,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.0720487422506828,0.012008123708447135
CXCL9,MAP2K3,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.07186235873072326,0.011977059788453877
LYN,MME,cell_adhesion,functional,0.0,0.04601302499091126,0.025808429999131507,0.0,0.0,0.0,0.011970242498340463
LAMC2,PIK3CA,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.07156414965232283,0.011927358275387137
THBS4,ITGB7,ecm,functional,0.0,0.0,0.0,0.0,0.07151027976795334,0.0,0.011918379961325555
PTPN6,CD3E,ligand,functional,0.0,0.0,0.022359726810379673,0.049132956311230436,0.0,0.0,0.011915447186935019
PTPRC,JAK3,cell_surface_ligand,functional,0.0,0.07148745693998261,0.0,0.0,0.0,0.0,0.011914576156663768
KITLG,SOS1,ligand,functional,0.0,0.0,0.07144385845965712,0.0,0.0,0.0,0.011907309743276187
CSF1,PLA2G4A,ligand,functional,0.0,0.07125175771030284,0.0,0.0,0.0,0.0,0.01187529295171714
COL6A1,SDC1,ecm,functional,0.0,0.0,0.0,0.0,0.07123525289926229,0.0,0.011872542149877048
COL1A2,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.07121527965236832,0.01186921327539472
GNAI1,FRK,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.07111244210773164,0.0,0.01185207368462194
LCK,LPP,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.0,0.07105248461496849,0.011842080769161415
GNAI1,CFB,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.07094999219733127,0.0,0.01182499869955521
PRKCZ,PRKCD,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.07091384196033193,0.0,0.011818973660055321
SERPING1,F12,ecm_regulator,functional,0.0,0.0,0.0,0.07069897467484888,0.0,0.0,0.011783162445808147
VCAM1,ITGB2,ligand,functional,0.07059811191979216,0.0,0.0,0.0,0.0,0.0,0.011766351986632027
IGF1,ESR1,ligand,functional,0.01880982307338141,0.0,0.0,0.0,0.02668970397473451,0.024900195886920853,0.011733287155839461
GHR,JAK2,ligand,functional,0.07035737509944479,0.0,0.0,0.0,0.0,0.0,0.011726229183240797
JAK2,GHR,cell_adhesion,functional,0.07035737509944479,0.0,0.0,0.0,0.0,0.0,0.011726229183240797
LYN,SOS1,cell_adhesion,functional,0.0,0.0,0.07028963344017888,0.0,0.0,0.0,0.011714938906696481
FGF9,MET,ligand,functional,0.0,0.0,0.0,0.0,0.07011796216915159,0.0,0.011686327028191931
JAK2,ITGAL,cell_adhesion,functional,0.026743163721436335,0.0,0.0,0.0,0.04327338119197063,0.0,0.011669424152234494
CCL3,STAT3,ligand,functional,0.06996854145671177,0.0,0.0,0.0,0.0,0.0,0.011661423576118629
PLA2G2A,ITGB3,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.06977325089159994,0.01162887514859999
CXCL6,CCR1,ligand,functional,0.015432101755099648,0.02716039671638538,0.0,0.0,0.026978788300662783,0.0,0.011595214462024635
PLAUR,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.06948392161942926,0.0,0.011580653603238211
TNF,MSN,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.06921000888729036,0.011535001481215059
PTPN6,PRKCA,ligand,functional,0.0,0.0,0.0,0.06919829684746986,0.0,0.0,0.01153304947457831
LAMB3,PIK3CA,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.06899467923736492,0.011499113206227487
FGF9,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.06885790878684506,0.0,0.011476318131140842
HLA-DRA,CD28,ligand,functional,0.06877097590925439,0.0,0.0,0.0,0.0,0.0,0.011461829318209065
CD28,HLA-DRA,cell_surface_ligand,functional,0.06877097590925439,0.0,0.0,0.0,0.0,0.0,0.011461829318209065
CD8A,PRF1,ligand,functional,0.009188527933079347,0.0,0.01753869269267546,0.041837840622961794,0.0,0.0,0.011427510208119433
CCR1,GNAI1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0685202856110738,0.0,0.011420047601845633
SIGLEC9,TNFRSF11B,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.06833213159630408,0.011388688599384014
CD4,CBL,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06832985345311048,0.011388308908851745
LILRB2,SIGLEC9,adhesion,functional,0.0,0.02607496875418046,0.0,0.0,0.042134174925083506,0.0,0.011368190613210661
SYK,FCER1G,cell_adhesion,functional,0.0,0.0,0.0680906933798954,0.0,0.0,0.0,0.011348448896649233
ESR1,COL18A1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.06798040276239838,0.0,0.011330067127066397
CTSG,F2RL3,ligand,functional,0.0,0.0,0.0,0.0,0.038229960451946335,0.029749838299550815,0.011329966458582858
COL4A1,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.06794363751393621,0.011323939585656036
CXCL12,CX3CR1,ligand,functional,0.0,0.0,0.06783336652123945,0.0,0.0,0.0,0.011305561086873242
MUC1,CASP8,ligand,functional,0.0,0.0,0.013395519400594372,0.03453056297631521,0.019696462767678016,0.0,0.0112704241907646
LYN,LAT,cell_adhesion,functional,0.0,0.0,0.02033541958198973,0.0,0.0,0.04728264679701546,0.011269677729834199
CSF1,CSF2RA,ligand,functional,0.0,0.0,0.0,0.06747009163106273,0.0,0.0,0.011245015271843788
LYN,HCK,cell_adhesion,functional,0.0,0.06734204893756893,0.0,0.0,0.0,0.0,0.011223674822928154
ICAM1,IL2RG,ligand,functional,0.0,0.0,0.0,0.06734156942743032,0.0,0.0,0.01122359490457172
SYK,SPHK1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06704954420200825,0.011174924033668042
PTGIR,GNAQ,cell_adhesion,functional,0.0,0.0,0.06697967769026701,0.0,0.0,0.0,0.011163279615044501
PRKCI,MDM2,tight_junction,functional,0.0,0.0,0.0669702450089597,0.0,0.0,0.0,0.011161707501493284
ESR1,CXCL12,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.06694967805841606,0.0,0.011158279676402677
ELN,ATP2A3,ecm,functional,0.0,0.0,0.06671131346949061,0.0,0.0,0.0,0.0111185522449151
RELN,ITGB4,ecm,functional,0.0,0.0,0.02858156827177095,0.0,0.037932259802692964,0.0,0.011085638012410652
SEMA3G,NRP2,ligand,functional,0.0,0.0,0.0,0.0,0.06631673740954223,0.0,0.011052789568257039
PTPN6,CD79B,ligand,functional,0.0,0.0,0.0,0.06626974425441538,0.0,0.0,0.011044957375735897
CCL21,ACKR2,ligand,functional,0.0,0.0,0.027023657007813024,0.0,0.0,0.03922624415340428,0.011041650193536217
SFRP2,FZD2,ligand,functional,0.0,0.06622477056055434,0.0,0.0,0.0,0.0,0.01103746176009239
COL3A1,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.06582554066665348,0.010970923444442247
CCL11,ACKR2,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.06580270227109782,0.010967117045182969
THBS4,ITGA2,ecm,functional,0.0,0.0,0.0,0.0,0.06579194908864495,0.0,0.010965324848107492
LINGO1,RTN4,cell_surface_ligand,functional,0.0,0.0,0.06563539445189139,0.0,0.0,0.0,0.010939232408648565
RTN4,LINGO1,cell_surface_ligand,functional,0.0,0.0,0.06563539445189139,0.0,0.0,0.0,0.010939232408648565
EGF,MTDH,ligand,functional,0.0,0.0,0.0656279263759387,0.0,0.0,0.0,0.010937987729323117
LEPR,JAK3,ligand,functional,0.0,0.0654602057373055,0.0,0.0,0.0,0.0,0.010910034289550917
IL6,GZMB,ligand,functional,0.0,0.0,0.00843134635681934,0.05696339827890317,0.0,0.0,0.01089912410595375
GNB3,TGFBR1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06523122136400988,0.010871870227334981
TGFBR1,GNB3,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06523122136400987,0.010871870227334978
TULP3,GPR161,ecm,functional,0.031048660468521155,0.0,0.0,0.0,0.03416743735164422,0.0,0.01086934963669423
COL5A1,ITGB7,ecm,functional,0.0,0.0,0.01606283709556951,0.0,0.04901802168457769,0.0,0.0108468097966912
CXCL2,CCR1,ligand,functional,0.06493669749744546,0.0,0.0,0.0,0.0,0.0,0.01082278291624091
ANGPTL1,LILRB3,ligand,functional,0.0,0.06485885042834805,0.0,0.0,0.0,0.0,0.010809808404724675
FN1,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.0648451451363955,0.01080752418939925
CBL,ITGAM,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06483168875075185,0.01080528145845864
FRS3,NRAS,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.06479176636211333,0.010798627727018888
PTPN13,HCK,cell_adhesion,functional,0.0,0.06465762474291616,0.0,0.0,0.0,0.0,0.010776270790486027
TGFB1,MET,ligand,functional,0.0,0.0,0.06451576501019642,0.0,0.0,0.0,0.010752627501699403
CXCL9,CXCR4,ligand,functional,0.0,0.0,0.006052257127507887,0.03019899808497406,0.028254111034122294,0.0,0.010750894374434041
TNFRSF1A,CASP8,ligand,functional,0.0,0.0,0.06433164478309458,0.0,0.0,0.0,0.01072194079718243
FGF2,MAP3K5,ligand,functional,0.0,0.06397164618907607,0.0,0.0,0.0,0.0,0.010661941031512677
TNC,ITGA2,ecm,functional,0.0,0.04661329624284126,0.0,0.0,0.01719441763658368,0.0,0.010634618979904156
PTPN6,CD79A,ligand,functional,0.0,0.0,0.005591928086195953,0.05820955392924796,0.0,0.0,0.01063358033590732
WNT2B,FZD2,ligand,functional,0.0,0.06374929540350173,0.0,0.0,0.0,0.0,0.010624882567250289
GNB3,PIK3CA,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06362733203322685,0.010604555338871141
COMP,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.06358014150641605,0.0,0.010596690251069343
NPPB,NPR1,ligand,functional,0.0,0.0,0.06356113819060141,0.0,0.0,0.0,0.010593523031766902
PTPN6,IL6R,ligand,functional,0.0,0.0,0.0,0.0635424665061687,0.0,0.0,0.01059041108436145
SELL,CSF1,ecm,functional,0.0,0.06341278200169947,0.0,0.0,0.0,0.0,0.010568797000283245
HSP90AA1,ITGB3,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.06338942750633052,0.01056490458438842
CCR1,JAK3,cell_adhesion,functional,0.0,0.06306808639221245,0.0,0.0,0.0,0.0,0.010511347732035409
TGFB1,PPARG,ligand,functional,0.0,0.0,0.0630524301089563,0.0,0.0,0.0,0.010508738351492715
F12,C3,ecm_regulator,functional,0.0,0.0,0.0,0.062991897608966,0.0,0.0,0.010498649601494332
PTN,SDC1,ligand,functional,0.0,0.0,0.0,0.03304368346415977,0.029743628902713853,0.0,0.010464552061145604
PRKCZ,MET,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.06243364932564129,0.0,0.010405608220940216
THBS4,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.06228963518547987,0.010381605864246645
LCK,CD44,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.0,0.061807644533918196,0.010301274088986366
COL1A2,SDC1,ecm,functional,0.0,0.0,0.0,0.0,0.06162966192317905,0.0,0.010271610320529841
CXCL10,CCR1,ligand,functional,0.011995851616136626,0.0,0.0,0.0,0.049632321776409576,0.0,0.010271362232091033
ACVR2A,ACVRL1,cell_adhesion,functional,0.0,0.0,0.061620386634940565,0.0,0.0,0.0,0.01027006443915676
ACVRL1,ACVR2A,cell_adhesion,functional,0.0,0.0,0.061620386634940565,0.0,0.0,0.0,0.01027006443915676
SPP1,PTGER4,ligand,functional,0.06158622862421195,0.0,0.0,0.0,0.0,0.0,0.010264371437368658
S100A4,CCR5,ligand,functional,0.0,0.0,0.061450784738184945,0.0,0.0,0.0,0.010241797456364157
TXN,ESR1,ecm,functional,0.061241875238642426,0.0,0.0,0.0,0.0,0.0,0.010206979206440404
TNFRSF25,CASP8,ligand,functional,0.0,0.0,0.028923765178185172,0.03226815057640722,0.0,0.0,0.010198652625765399
CXCR4,PIK3CD,cell_adhesion,functional,0.0,0.0,0.0,0.061101589218385835,0.0,0.0,0.010183598203064305
GPC3,LRP2,receptor_regulator,functional,0.0,0.02747168937091206,0.0,0.03317949022578702,0.0,0.0,0.01010852993278318
WNT5A,MCAM,ligand,functional,0.0,0.0,0.0606493293970467,0.0,0.0,0.0,0.01010822156617445
EFNB2,EPHB3,ligand,functional,0.0,0.06061017902472511,0.0,0.0,0.0,0.0,0.010101696504120851
EPHB3,EFNB2,cell_surface_ligand,functional,0.0,0.06061017902472509,0.0,0.0,0.0,0.0,0.010101696504120848
PTPRF,EGFR,inhibitory_cofactor,functional,0.0,0.0,0.0,0.0,0.060505895221271984,0.0,0.010084315870211998
SFRP4,WNT5B,ligand,functional,0.0,0.0,0.0,0.03209882468482998,0.0,0.028353944414944977,0.010075461516629159
COL4A2,ITGA2B,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.0603562407600283,0.010059373460004717
MIA,CDH19,ligand,functional,0.03356766408028531,0.0,0.026545162005109684,0.0,0.0,0.0,0.010018804347565831
EPHB2,EFNB2,cell_surface_ligand,functional,0.0,0.06003776379892644,0.0,0.0,0.0,0.0,0.01000629396648774
EFNB2,EPHB2,ligand,functional,0.0,0.06003776379892644,0.0,0.0,0.0,0.0,0.01000629396648774
EPHB6,EFNB3,cell_adhesion,functional,0.0,0.0,0.003958292352051549,0.056062122434830615,0.0,0.0,0.01000340246448036
EFNB3,EPHB6,ligand,functional,0.0,0.0,0.003958292352051549,0.056062122434830615,0.0,0.0,0.01000340246448036
ANXA1,ADRA2A,ligand,functional,0.0,0.0,0.06000865527871517,0.0,0.0,0.0,0.010001442546452528
PTHLH,RAMP3,ligand,functional,0.0,0.05986905128762444,0.0,0.0,0.0,0.0,0.009978175214604073
CCL3,CCR1,ligand,functional,0.01602759581984775,0.04354887069570533,0.0,0.0,0.0,0.0,0.009929411085925514
VTN,ITGA8,ecm,functional,0.0,0.0,0.0,0.05945531146716013,0.0,0.0,0.009909218577860021
THBS3,ITGA3,ecm,functional,0.0,0.0,0.05943785359747714,0.0,0.0,0.0,0.009906308932912857
EFNB2,EPHB6,ligand,functional,0.0,0.059158797543589686,0.0,0.0,0.0,0.0,0.009859799590598281
EPHB6,EFNB2,cell_adhesion,functional,0.0,0.059158797543589665,0.0,0.0,0.0,0.0,0.009859799590598278
PTAFR,GNAQ,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.05913440811773968,0.009855734686289946
TGFB1,LIMK2,ligand,functional,0.0,0.0,0.05912680891424451,0.0,0.0,0.0,0.009854468152374085
TNFRSF11B,NRXN2,cell_surface_ligand,functional,0.022441085425111706,0.0,0.0,0.0,0.0,0.036584765368015165,0.009837641798854478
CXCL16,CCR1,ecm,functional,0.0,0.058569353272438215,0.0,0.0,0.0,0.0,0.009761558878739703
THBS2,SDC1,ecm,functional,0.0,0.0,0.0,0.03168501486533544,0.026858168591245474,0.0,0.009757197242763485
IL6,IL6R,ligand,functional,0.0,0.0,0.0,0.058511022678955575,0.0,0.0,0.009751837113159263
NTF3,NTRK3,ligand,functional,0.01368461070703624,0.025103507981168283,0.0,0.0,0.0,0.01967339681266063,0.009743585916810859
CXCR4,JAK3,cell_adhesion,functional,0.0,0.05845507526374401,0.0,0.0,0.0,0.0,0.009742512543957334
CNTFR,JAK2,cell_adhesion,functional,0.02321713223468163,0.0,0.0,0.0,0.03516348623624836,0.0,0.009730103078488333
NECTIN3,CADM1,ligand,functional,0.0,0.0,0.0,0.0,0.05831083910336927,0.0,0.009718473183894879
CADM1,NECTIN3,ligand,functional,0.0,0.0,0.0,0.0,0.058310839103369275,0.0,0.009718473183894879
NTRK3,PLCG1,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.05829307325719286,0.0,0.009715512209532142
MUC1,SYK,ligand,functional,0.0,0.0,0.0193480031933706,0.0,0.0,0.03892555044290782,0.009712258939379737
IL6,CXCL12,ligand,functional,0.0,0.0,0.058257193922578374,0.0,0.0,0.0,0.00970953232042973
COL4A5,DDR2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.058099654355209994,0.009683275725868332
CXCL1,CXCR4,ligand,functional,0.0,0.0,0.0,0.0,0.05800347929181366,0.0,0.00966724654863561
CSF1R,INPP5D,cell_adhesion,functional,0.0,0.0,0.0578450705325083,0.0,0.0,0.0,0.009640845088751383
CCL11,DPP4,ligand,functional,0.05782494867905032,0.0,0.0,0.0,0.0,0.0,0.009637491446508386
INHBB,ACVR1,ligand,functional,0.057761078634293084,0.0,0.0,0.0,0.0,0.0,0.009626846439048847
COL1A2,ITGA2B,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.05774504979359407,0.009624174965599011
GRK2,BDKRB2,cell_adhesion,functional,0.0,0.0,0.0,0.05771328133321476,0.0,0.0,0.00961888022220246
GNAI1,CXCR4,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.05757279597669629,0.0,0.009595465996116048
CXCR4,GNAI1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.05757279597669629,0.0,0.009595465996116048
SFRP1,FZD6,ecm,functional,0.0,0.0,0.0,0.0,0.05747273906980416,0.0,0.009578789844967359
CASP8,MAP3K5,cell_adhesion,functional,0.0,0.0,0.020073953672389414,0.0,0.0372948791174019,0.0,0.009561472131631886
CD2,PRKAR2B,cell_surface_ligand,functional,0.0,0.0,0.02339680371351933,0.0,0.03391316864927354,0.0,0.009551662060465477
IL1B,MAP2K3,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.057090795583402874,0.009515132597233812
THPO,FN1,ligand,functional,0.057038071825211784,0.0,0.0,0.0,0.0,0.0,0.009506345304201963
IL6,MSR1,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.05703637990927905,0.009506063318213175
COL4A1,ITGA2B,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.05700998065877081,0.009501663443128468
CCL4,PLCG1,ligand,functional,0.0,0.0,0.0,0.0,0.05692327810242012,0.0,0.00948721301707002
ADIPOQ,JAK2,ligand,functional,0.0,0.0,0.0,0.0,0.05692105987020749,0.0,0.009486843311701248
CD28,STAT3,cell_surface_ligand,functional,0.05691454452003353,0.0,0.0,0.0,0.0,0.0,0.009485757420005589
RECK,MMP14,cell_adhesion,functional,0.0,0.0,0.05683203353396977,0.0,0.0,0.0,0.00947200558899496
BMP2,ACVR1,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.056642059468009806,0.009440343244668302
VTN,ITGB8,ecm,functional,0.0,0.0,0.0,0.05653272521596048,0.0,0.0,0.009422120869326747
ESR1,STAT3,cell_adhesion,functional,0.05641228850919272,0.0,0.0,0.0,0.0,0.0,0.009402048084865453
TNC,NT5E,ecm,functional,0.0,0.0,0.0,0.0,0.056335112585695346,0.0,0.009389185430949224
CD79B,INPP5D,cell_adhesion,functional,0.0,0.0,0.0,0.056202993750592366,0.0,0.0,0.009367165625098728
WNT11,FZD7,ligand,functional,0.0,0.05597927697275746,0.0,0.0,0.0,0.0,0.009329879495459577
BTK,STAT3,cell_adhesion,functional,0.055967170021630805,0.0,0.0,0.0,0.0,0.0,0.009327861670271801
CBL,GHR,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.05589216113757088,0.009315360189595147
SLPI,PLSCR4,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.05584167809730212,0.009306946349550354
PTPN6,JAK2,ligand,functional,0.05581810784203461,0.0,0.0,0.0,0.0,0.0,0.009303017973672435
DPP4,TGFB1,ligand,functional,0.0,0.0,0.0,0.05552506452248038,0.0,0.0,0.009254177420413396
LYN,IKBKB,cell_adhesion,functional,0.0,0.0,0.05538840928196897,0.0,0.0,0.0,0.009231401546994828
EDN1,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.05525842839112527,0.0,0.009209738065187545
NAT10,MDM2,ligand,functional,0.0,0.0,0.055155429185913846,0.0,0.0,0.0,0.009192571530985641
KIRREL1,PIK3CD,cell_adhesion,functional,0.0,0.0,0.0,0.05511906045102007,0.0,0.0,0.009186510075170013
CD86,PRF1,cell_surface_ligand,functional,0.009264584781772682,0.0,0.0077615248370459244,0.03808880600339826,0.0,0.0,0.009185819270369476
COL5A2,ITGA2,ecm,functional,0.0,0.05505756027312914,0.0,0.0,0.0,0.0,0.009176260045521524
CXCL1,CCR1,ligand,functional,0.0,0.0,0.0,0.0,0.054951227857709097,0.0,0.00915853797628485
S100B,CASP8,ligand,functional,0.0,0.0,0.02183725747172249,0.0,0.0330966891845557,0.0,0.009155657776046365
GNAI1,PLD2,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0547705997176741,0.0,0.009128433286279016
COL1A1,ITGB3,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.054607333544701944,0.009101222257450324
COL4A4,ITGA3,ecm,functional,0.0,0.0,0.054534893306615546,0.0,0.0,0.0,0.009089148884435924
LYN,BTK,cell_adhesion,functional,0.01805396072337386,0.0,0.0,0.0,0.0,0.036468794617919166,0.009087125890215505
BTK,LYN,cell_adhesion,functional,0.018053960723373858,0.0,0.0,0.0,0.0,0.03646879461791917,0.009087125890215505
EPHA4,JAK2,cell_surface_ligand,functional,0.0,0.0,0.0,0.0,0.05441625867334824,0.0,0.00906937644555804
AREG,EGFR,ligand,functional,0.0,0.0,0.0,0.0,0.054342304715769174,0.0,0.009057050785961529
CXCL12,PIK3CG,ligand,functional,0.0,0.0,0.0,0.0,0.05426530664061685,0.0,0.009044217773436142
TNC,ITGB8,ecm,functional,0.029878309686427802,0.0,0.0,0.0,0.024373799279873355,0.0,0.009042018161050193
NTF3,NTRK2,ligand,functional,0.024018414053381846,0.0,0.008176194817449222,0.0,0.0,0.022046038214599724,0.009040107847571798
COL4A4,ITGA8,ecm,functional,0.0,0.0,0.01040874245931506,0.0,0.043806049757567675,0.0,0.00903579870281379
BOC,LILRA6,activating_cofactor,functional,0.0,0.0,0.0,0.0,0.054050589160425315,0.0,0.009008431526737552
ADAM17,MUC1,ecm_regulator,functional,0.0,0.0,0.0,0.0,0.0,0.05403072853951664,0.009005121423252773
KIT,PLCG1,ligand,functional,0.0,0.0,0.0,0.0,0.054024039065949256,0.0,0.009004006510991543
TGFBR3,FGFR4,ligand,functional,0.05388466694731001,0.0,0.0,0.0,0.0,0.0,0.008980777824551669
S100B,AGER,ligand,functional,0.0,0.0,0.012684374258460947,0.0,0.04115541057378537,0.0,0.008973297472041052
CCL5,CD4,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.05367673828300964,0.008946123047168273
KIT,SOS1,ligand,functional,0.0,0.0,0.0,0.0,0.05366773514707531,0.0,0.008944622524512552
COL4A4,CD44,ecm,functional,0.0,0.0,0.05364516838790267,0.0,0.0,0.0,0.008940861397983777
TGFB2,PLAT,ligand,functional,0.0,0.0,0.0,0.053618467467132745,0.0,0.0,0.008936411244522125
JAK2,CSF2RB,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.053551427477988044,0.0,0.008925237912998008
LFNG,DLL1,ligand,functional,0.0,0.0,0.0,0.0,0.053320135454754565,0.0,0.008886689242459094
BTK,PLCG2,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.053223892900587925,0.008870648816764654
CXCR4,JAK2,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.05318361008381787,0.0,0.008863935013969645
JAK2,CXCR4,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.05318361008381787,0.0,0.008863935013969645
LAMB3,ITGA3,ecm,functional,0.0,0.0,0.05316558004898649,0.0,0.0,0.0,0.008860930008164415
PRKCZ,VCAM1,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.05311561542363685,0.0,0.008852602570606142
SYK,FER,cell_adhesion,functional,0.0,0.0,0.0,0.0,0.0,0.05311093483643483,0.008851822472739138
IL15,PTGS2,ligand,functional,0.0,0.0,0.0,0.0531030577607945,0.0,0.0,0.008850509626799083
UNC5C,FLRT2,cell_adhesion,functional,0.01793940355065209,0.0,0.0,0.0,0.0,0.03513273233280409,0.00884535598057603
FLRT2,UNC5C,ligand,functional,0.017939403550652093,0.0,0.0,0.0,0.0,0.03513273233280408,0.00884535598057603
